תיאור ישוב,סמל ישוב
שחר,7
תירוש,10
"ניר ח""""ן",11
חצבה,13
נועם,15
בית ניר,16
שדה משה,18
באר אורה,21
אמציה,23
לכיש,24
שדות מיכה,27
עוצם,32
בת שלמה,33
גדות,35
שדה דוד,36
איתן,37
גפן,39
זוהר,44
מנחמיה,48
אילנייה,49
לוזית,52
עתלית,53
נוגה,55
כנרת (קבוצה),57
מצפה,58
נחושה,59
דגניה א',62
כנרת (מושבה),63
"יד רמב""""ם",64
מרחביה (קיבוץ),66
אור הנר,67
ניר עוז,69
אשבול,71
גן שמואל,72
עין הוד,74
כפר גלעדי,76
איילת השחר,77
קריית ענבים,78
דגניה ב',79
נהלל,80
עין חרוד (מאוחד),82
תל יוסף,84
כפר יחזקאל,85
גבע,86
כרם בן שמן,88
עין חרוד (איחוד),89
חפצי-בה,90
גיניגר,92
בלפוריה,94
בית אלפא,95
יגור,96
מרחביה (מושב),97
"כפר מל""""ל",98
מאיר שפיה,102
תל עדשים,103
מזרע,104
כפר גדעון,106
כפר חסידים א',112
אדירים,113
חופית,115
שריד,126
רמת רחל,127
גת רימון,128
משמר העמק,130
כפר ברוך,132
גבת,133
יפעת,134
רמת דוד,135
עין שמר,139
כפר יהושע,140
ברק,141
שדה יעקב,142
בית זרע,143
גן שלמה,144
גדיש,145
דבורה,146
גבעת ברנר,147
באר טוביה,155
עיינות,156
עין ורד,157
נען,158
בית חנן,159
חולדה,160
חירות,162
תימורים,163
מלאה,164
ניר יפה,165
עין החורש,167
כפר יעבץ,170
גבעת חיים (מאוחד),173
נטעים,174
אביחיל,175
אפיקים,176
"כפר ביל""""ו",177
רמת יוחנן,178
ירקונה,183
רמת הכובש,184
כפר הס,187
אשדות יעקב (מאוחד),188
כפר פינס,189
כפר ויתקין,190
הדר עם,191
כפר החורש,192
כפר חיים,193
משמר השרון,194
גיבתון,196
מעברות,197
צופית,198
אשדות יעקב (איחוד),199
בית ינאי,200
בית עובד,202
אלישיב,204
חגלה,205
רמות השבים,206
"גבעת ח""""ן",207
מוצא עילית,208
משמרות,213
"כפר הרא""""ה",217
גני עם,218
חיבת ציון,219
כפר ביאליק,220
עין עירון,223
שושנת העמקים,224
גן השומרון,225
מעש,230
שפיים,232
כפר ידידיה,233
ביצרון,234
חבצלת השרון,235
שער העמקים,237
גן חיים,239
יקנעם (מושבה),241
בית השיטה,242
רשפון,247
בית שערים,248
כפר סירקין,249
הזורע,250
ביתן אהרן,252
חולתה,253
כפר המכבי,254
כפר חיטים,255
ניר דוד (תל עמל),256
נופך,257
שדה נחום,259
גינוסר,262
מסדה,263
שער הגולן,264
בית יוסף,265
טירת צבי,268
מולדת,269
עין השופט,270
מעוז חיים,272
עין גב,273
כפר מנחם,274
צור משה,276
אושה,278
חניתה,280
פקיעין חדשה,281
שבי ציון,282
שדה ורבורג,284
אלונים,285
מעלה החמישה,286
תל יצחק,287
בית יהושע,288
עין המפרץ,289
מעיין צבי,290
שרונה,292
שדה יואב,293
אילון,294
כפר רופין,295
נווה איתן,296
כפר מסריק,297
מסילות,298
דלייה,300
בית עוזיאל,301
דפנה,302
דן,303
שדה אליהו,304
גשר,305
שדמות דבורה,306
הזורעים,307
מחניים,308
נהורה,309
כפר גליקסון,310
גן שורק,311
נווה ים,312
אפק,313
נגבה,315
כפר נטר,316
בית אורן,317
עמיעוז,318
עמיר,319
כפר ורבורג,320
בית הלל,322
שאר ישוב,324
מצובה,325
בית יצחק-שער חפר,326
שדות ים,327
שדה נחמיה,329
אלומות,330
ניר צבי,331
קבוצת יבנה,334
רמת השופט,335
דורות,336
רמת צבי,339
גת (קיבוץ),340
גברעם,342
חמדיה,343
מענית,344
כפר סאלד,345
גליל ים,346
מנרה,347
ניר עם,348
ניצן,351
גבולות,352
בית זיד,353
רביבים,354
חורשים,355
הגושרים,356
כפר בלום,357
יד מרדכי,358
ניצנים,359
"גבעת ניל""""י",360
רוחמה,362
חפץ חיים,363
כפר אוריה,364
בית קשת,365
שמיר,366
עין העמק,367
בירייה,368
גלעד (אבן יצחק),369
גזר,370
רמות נפתלי,372
בית הלוי,373
חוקוק,374
מגל,375
עברון,376
המעפיל,377
משגב עם,378
גאולים,379
להבות הבשן,380
מכמורת,382
"עין הנצי""""ב",383
עמיעד,385
בני דרור,386
כפר מונש,387
כפר קיש,388
בצרה,389
רגבה,390
קדמה,392
גלאון,393
שובל,394
משמר הנגב,395
נבטים,396
חצרים,397
שרשרת,398
בארי,399
אבן שמואל,400
ניר יצחק,402
אורים,403
נווה אילן,405
חצור-אשדוד,406
דברת,407
נאות מרדכי,408
יחיעם,409
צאלים,413
קלחים,414
שוקדה,415
מעיין ברוך,416
יקום,417
בני ציון,418
סעד,419
משאבי שדה,421
חרב לאת,422
העוגן,423
גבים,424
משמרת,425
עין כרמל,426
כפר גלים,427
ברור חיל,428
אלוני אבא,429
בית לחם הגלילית,430
דלתון,431
שמרת,432
נחשולים,433
החותרים,434
נצר סרני,435
עין דור,436
רשפים,437
שלוחות,439
יסודות,440
גדעונה,442
כפר הנשיא,443
רגבים,444
רמות מנשה,445
אודים,446
נורדייה,447
בני עטרות,448
נחלים,449
בארות יצחק,450
יזרעאל,452
יפתח,453
סער,454
שורש,456
גזית,457
רמת רזיאל,460
טל שחר,462
געתון,463
הראל,464
צובה,465
דחי,475
טייבה (בעמק),497
כפר מצר,512
עין ראפה,514
עין נקובא,521
ניין,523
נאעורה,524
סולם,526
שזור,527
עוזייר,528
רומאנה,539
ריחאנייה,540
עין אל-אסד,546
טמרה (יזרעאל),547
גנות הדר,549
ניר בנים,553
שדמה,555
בוסתן הגליל,559
בית אלעזרי,562
משמר דוד,563
רבדים,564
צרעה,567
מעונה,570
בית גמליאל,571
בית העמק,572
מבקיעים,573
גשר הזיו,574
יסעור,575
כברי,576
יד בנימין,577
סאסא,578
כפר ראש הנקרה,579
"כרם מהר""""ל",580
כפר הנגיד,582
זיקים,584
לביא,585
מגידו,586
בני ראם,588
בצת,589
נווה אור,590
עשרת,591
בני דרום,592
ערוגות,593
צפרייה,594
לוחמי הגיטאות,595
מלכייה,596
פלמחים,597
בית קמה,598
פרוד,599
נירים,602
אלקוש,603
בית עריף,604
כפר שמאי,605
מזור,606
מירון,607
כפר חושן,609
סתרייה,610
צרופה,612
ציפורי,613
שומרה,614
קדרון,615
רינתיה,616
ברקאי,617
חדיד,618
בית גוברין,619
משואות יצחק,620
עין צורים,622
יראון,623
מוקייבלה,635
צנדלה,636
מצר,648
מייסר,649
אבטין,652
שייח' דנון,658
שער אפרים,661
חוסן,662
טירת יהודה,663
כרם בן זמרה,664
תקומה,665
ברעם,667
מפלסים,668
משמר איילון,670
בית נקופה,672
כפר טרומן,673
לימן,674
הבונים,675
עין השלושה,676
הסוללים,677
מעגן,678
אביאל,679
אומץ,680
אליקים,682
גבע כרמל,683
היוגב,684
בניה,685
נווה ימין,686
עין איילה,687
עלמה,688
מגדים,689
כפר אחים,690
שפיר,692
"נתיב הל""""ה",693
מעגן מיכאל,694
מגן,695
"כפר חב""""ד",696
בארותיים,697
בורגתה,698
ניר ישראל,699
חצב,700
ארבל,701
האון,702
גבעת עוז,703
נחשונים,705
גיאה,706
כפר דניאל,707
עמקה,708
תפרח,709
בית זית,710
עזריה,711
בן עמי,712
רעים,713
ארז,714
להבות חביבה,715
אייל,716
חגור,717
ירחיב,718
תל קציר,719
שדה אילן,721
מגשימים,722
בית הגדי,723
הודייה,726
תלמי יחיאל,727
משמר השבעה,729
אליפלט,730
מישר,731
משמר הירדן,732
גן יאשיה,734
רמות מאיר,735
גילת,736
עולש,737
דור,738
שדה עוזיהו,739
אשתאול,740
שואבה,741
מסילת ציון,742
כפר שמואל,743
תלמי יפה,744
גמזו,745
ברכיה,746
בית שקמה,747
מסלול,748
פטיש,749
פדויים,750
בית מאיר,751
תעוז,752
ינוב,753
גורן,755
בית עזרא,756
מצליח,757
יד חנה,758
יציץ,759
בן זכאי,760
שובה,761
בטחה,762
שתולים,763
כפר מרדכי,764
משגב דב,765
קוממיות,766
פורת,767
כרמייה,768
ניר עציון,769
מבוא ביתר,771
אמונים,772
עמיקם,773
צוריאל,774
יד נתן,775
מחסיה,776
נחשון,777
תרום,778
עמינדב,779
אורה,780
אבן ספיר,783
בית נחמיה,784
אחיהוד,785
כפר זיתים,786
גבעת יערים,787
זיתן,788
רנן,789
משען,791
נתיב השיירה,792
גבעתי,793
עגור,794
יערה,795
צלפון,796
אחיעזר,797
יגל,798
זכריה,799
בית חנניה,800
חמד,801
"גבעת כ""""ח",802
יושיביה,803
אחיסמך,804
ישעי,805
עין יהב,806
חניאל,807
ניר אליהו,808
נחם,809
עופר,810
יכיני,811
עין יעקב,813
תלמים,814
זבדיאל,815
זנוח,816
עזריקם,817
זרחיה,818
אביגדור,819
חלץ,820
אחוזם,821
מטע,822
בר גיורא,823
כוכב מיכאל,824
נס הרים,825
עוזה,826
נווה מבטח,827
ישרש,828
מבטחים,829
נורית,833
גנות,836
עזריאל,837
פדיה,838
פתחיה,839
כיסופים,840
אלישמע,841
געש,842
מרגליות,843
נחל עוז,844
כפר עזה,845
שפר,846
בית רבן,848
דבירה,849
אחיטוב,850
ניצני עוז,851
גונן,852
גאליה,853
רחוב,854
שעלבים,856
כפר אביב,857
נווה ירק,858
כסלון,859
שדה אליעזר,861
גני יוחנן,862
גינתון,863
בקוע,864
שיבולים,865
יטבתה,866
גבעת השלושה,870
עינת,871
גאולי תימן,872
שלווה,873
בית חירות,877
עין שריד,880
שדה בוקר,885
"כפר הרי""""ף",888
כפר חסידים ב',889
כפר הנוער הדתי,890
עבדון,892
ישע,916
עצמון שגב,917
גבעת ישעיהו,919
סואעד (חמרייה)*,942
ראס עלי,990
חמאם,993
מנשית זבדה,994
רומת הייב,997
חרוצים,1024
גיזו,1043
יעף,1044
שתולה,1045
אוהד,1046
חזון,1047
בית חשמונאי,1050
תלמי אליהו,1051
קטורה,1052
עין חצבה,1053
נווה זוהר,1057
שדה ניצן,1058
אמירים,1064
זמרת,1065
"דוב""""ב",1067
אדמית,1068
רם-און,1069
אביעזר,1070
נווה מיכאל,1071
גן הדרום,1072
גבעת שפירא,1077
צפרירים,1079
מבועים,1080
אבן מנחם,1081
מעגלים,1082
תושייה,1083
כרם שלום,1085
כרם יבנה (ישיבה),1094
כפר מימון,1095
מרכז שפירא,1098
צוקי ים,1102
גני הדר,1103
פורייה - כפר עבודה,1104
פורייה - נווה עובד,1105
אומן,1108
חבר,1110
יודפת,1112
צור הדסה,1113
שריגים (לי-און),1114
אביבים,1115
אדרת,1123
נאות הכיכר,1124
אלמגור,1125
אילות,1126
מעלה גלבוע,1127
מי עמי,1128
גרופית,1129
כפר רוזנואלד (זרעית),1130
שניר,1132
ורדון,1133
יד השמונה,1134
צוחר,1136
יעד,1138
מדרשת בן גוריון,1140
מבוא מודיעים,1141
נס עמים,1143
אלומה,1145
עלומים,1146
נטועה,1147
צור נתן,1148
עזר,1149
צופר,1150
פארן,1151
אשלים,1152
כישור,1153
מגן שאול,1155
סמר,1156
אחווה,1157
יהל,1158
שכניה,1160
בית רימון,1162
מורן,1163
שילת,1165
כפר רות,1166
קיסריה,1167
לוטם,1171
תובל,1172
לפידות,1173
מנוף,1174
עידן,1175
ספיר,1176
טללים,1177
מורשת,1178
קורנית,1179
צביה,1180
טל-אל,1181
אלון הגליל,1182
כליל,1183
מתת,1184
פלך,1185
הושעיה,1186
אשחר,1188
מצפה נטופה,1190
בר יוחאי,1191
נאות סמדר,1197
כרמים,1198
עדי,1199
כמון,1201
מכמנים,1202
הררית,1203
גילון,1204
מנות,1205
גיתה,1206
לבון,1207
הילה,1208
חרשים,1209
כחל,1210
קדרים,1211
עמוקה,1212
צבעון,1213
טפחות,1214
גורנות הגליל,1219
אבירים,1220
צורית,1221
"מצפה אבי""""ב",1222
שדי אברהם,1223
רביד,1225
יובלים,1226
יתד,1227
רקפת,1228
כלנית,1229
לבנים,1230
פרי גן,1231
יבול,1232
שקף,1233
שורשים,1235
נירית,1236
תלמי יוסף,1237
סופה,1238
חולית,1239
עין הבשור,1240
דקל,1241
נתיב העשרה,1242
קציר,1243
תמרת,1244
סלמה,1245
עראמשה*,1246
אליפז,1248
הרדוף,1249
עין תמר,1251
כורזים,1252
אמנון,1253
נטף,1254
לוטן,1255
אשרת,1256
חנתון,1257
מסד,1258
נווה שלום,1259
רתמים,1260
הר עמשא,1261
צוקים,1262
כרמי יוסף,1264
שומרייה,1265
שחרות,1266
חלוץ,1272
גן נר,1274
אבטליון,1275
אשבל,1276
באר מילכה,1278
נווה חריף,1279
ניצני סיני,1280
מירב,1282
תל תאומים,1283
נופית,1284
כרכום,1285
גבעת אלה,1288
כמהין,1291
גבעת אבני,1293
אור הגנוז,1294
כפר חנניה,1297
לפיד,1310
אבשלום,1311
פורייה עילית,1313
נווה זיו,1314
מתן,1315
אל -עריאן,1316
דמיידה,1317
בת חפר,1319
עין חוד,1320
ח'ואלד,1321
בת הדר,1323
ארסוף,1324
אחוזת ברק,1330
כמאנה,1331
חוסנייה,1332
נוף איילון,1333
ראס אל-עין,1334
ערב אל נעים,1335
אירוס,1336
שמשית,1337
אל -עזי,1339
מרחב עם,1340
אבו קורינאת (יישוב),1342
מכחול,1343
גבעות בר,1344
צור יצחק,1345
תרבין א-צאנע (יישוב)*,1346
קצר א-סר,1347
ביר הדאג',1348
דריג'את,1349
אום בטין,1358
אל סייד,1359
מולדה*,1360
בני נצרים,1363
שלומית,1364
אליאב,1365
נווה,1366
כחלה,1367
בני דקלים,1368
נטע,1369
מצפה אילן,1370
גני טל,1371
נצר חזני,1372
אבו תלול,1375
ניצן ב',1419
תנובות,2002
תלמי אלעזר,2003
שדה יצחק,2008
יובל,2009
כפר בן נון,2010
ינון,2011
אורות,2012
בן שמן (מושב),2013
גבעולים,2014
שדי חמד,2015
רוויה,2016
גבעת חיים (איחוד),2018
להב,2023
אום אל-קוטוף,2024
ירדנה,2026
מדרך עוז,2029
מנוחה,2030
בית חלקיה,2033
עדנים,2035
ברקת,2038
עין גדי,2042
בחן,2043
מלילות,2044
נחלה,2045
סגולה,2046
ניר משה,2047
ניר עקיבא,2048
שדה צבי,2049
"תלמי ביל""""ו",2050
רווחה,2051
אביטל,2052
פרזון,2053
מיטב,2054
מאור,2055
שדי תרומות,2057
"פעמי תש""""ז",2059
ברוש,2060
תדהר,2061
תאשור,2062
דישון,2063
זרועה,2064
כפר עציון,3488
נתיב הגדוד,3555
אלמוג,3556
תומר,3558
מגדל עוז,3561
תקוע,3563
כוכב השחר,3564
רימונים,3565
יפית,3566
סלעית,3567
ריחן,3568
מבוא דותן,3569
שבי שומרון,3571
כפר תפוח,3572
נווה צוף,3573
בית חורון,3575
מצפה יריחו,3576
שדמות מחולה,3578
אלון מורה,3579
ארגמן,3598
מחולה,3599
קליה,3601
ראש צורים,3602
הר גילה,3603
אלון שבות,3604
משואה,3605
גלגל,3606
"ייט""""ב",3607
חמרה,3609
מצפה שלם,3610
בקעות,3612
גיתית,3613
מכורה,3614
פצאל,3615
עפרה,3617
אלעזר,3618
רועי,3619
נערן,3620
כפר אדומים,3638
ורד יריחו,3639
שילה,3641
חיננית,3643
גבעון החדשה,3644
בית הערבה,3645
חמדת,3646
יקיר,3647
מתתיהו,3648
שקד,3649
מעלה מכמש,3651
מעלה עמוס,3653
ברקן,3654
"ניל""""י",3655
כרמל,3656
מעון,3657
עטרת,3658
פסגות,3659
מבוא חורון,3709
ברכה,3710
ענב,3712
"נעמ""""ה",3713
עלמון,3715
חרמש,3717
תלם,3719
שערי תקווה,3720
אשכולות,3722
פני חבר,3723
נגוהות,3724
נווה דניאל,3725
נוקדים,3726
עלי זהב,3727
טנא,3743
ברוכין,3744
מצדות יהודה,3745
קריית נטפים,3746
דולב,3747
עתניאל,3748
יצהר,3749
מגדלים,3751
מעלה לבונה,3752
אספר,3754
סוסיה,3756
אדורה,3759
איתמר,3762
גבע בנימין,3763
חגי,3764
עלי,3765
כרמי צור,3766
נחליאל,3767
פדואל,3768
חשמונאים,3770
עץ אפרים,3778
כוכב יעקב,3779
קדר,3781
רותם,3782
שמעה,3784
משכיות,3785
אבנת,3786
נעלה,3787
טלמון,3788
נופים,3790
צופים,3791
אבני חפץ,3793
בת עין,3794
רבבה,3795
כפר האורנים,3796
אלי-עד,4002
אל -רום,4003
כפר חרוב,4004
חספין,4005
קשת,4006
יונתן,4007
מעלה גמלא,4008
שעל,4009
אודם,4010
אבני איתן,4011
אניעם,4012
אורטל,4013
נטור,4014
בני יהודה,4015
אלוני הבשן,4017
מיצר,4019
גבעת יואב,4021
גשור,4022
קלע,4024
קדמת צבי,4025
חד-נס,4026
כנף,4028
מרום גולן,4101
מבוא חמה,4204
אפיק,4301
"נווה אטי""""ב",4303
נוב,4304
עין זיוון,4503
נאות גולן,4551
רמת מגשימים,4701
רמות,4702
אופקים,31
אשדוד,70
כפר יונה,168
יקנעם עילית,240
נתיבות,246
כפר קאסם,634
קלנסווה,638
גבעת שמואל,681
מגדל העמק,874
אור עקיבא,1020
שדרות,1031
קריית מלאכי,1034
נוף הגליל,1061
מעלות-תרשיחא,1063
כרמיאל,1139
רהט,1161
מודיעין-מכבים-רעות*,1200
אלעד,1309
טירת כרמל,2100
דימונה,2200
אור יהודה,2400
נשר,2500
ערד,2560
אילת,2600
בית שמש,2610
קריית אונו,2620
קריית גת,2630
ראש העין,2640
רמת השרון,2650
יבנה,2660
אום אל-פחם,2710
טירה,2720
טייבה,2730
קריית שמונה,2800
ירושלים,3000
אריאל,3570
מעלה אדומים,3616
ביתר עילית,3780
מודיעין עילית,3797
חיפה,4000
תל אביב -יפו,5000
באקה אל-גרביה,6000
בני ברק,6100
בת ים,6200
גבעתיים,6300
הרצלייה,6400
חדרה,6500
חולון,6600
טבריה,6700
קריית אתא,6800
כפר סבא,6900
לוד,7000
אשקלון,7100
נס ציונה,7200
נצרת,7300
נתניה,7400
סח'נין,7500
עכו,7600
עפולה,7700
פתח תקווה,7900
צפת,8000
קריית מוצקין,8200
ראשון לציון,8300
רחובות,8400
רמלה,8500
רמת גן,8600
רעננה,8700
שפרעם,8800
טמרה,8900
באר שבע,9000
נהרייה,9100
בית שאן,9200
יהוד,9400
קריית ביאליק,9500
קריית ים,9600
הוד השרון,9700
ראש פינה,26
מזכרת בתיה,28
יסוד המעלה,29
אליכין,41
מטולה,43
יבנאל,46
כפר תבור,47
מגדל,65
מצפה רמון,99
רמת ישי,122
תל מונד,154
גן יבנה,166
פרדסייה,171
אבן יהודה,182
קדימה-צורן,195
גני תקווה,229
כפר שמריהו,267
בית דגן,466
קריית עקרון,469
אבו גוש,472
אבו סנאן,473
אכסאל,478
בית ג'ן,480
מגאר,481
בועיינה-נוג'ידאת,482
בענה,483
ג'ולס,485
ג'ש (גוש חלב),487
דבורייה,489
דייר אל-אסד,490
דייר חנא,492
דאלית אל-כרמל,494
חורפיש,496
טורעאן,498
יפיע,499
ירכא,502
כאבול,504
כאוכב אבו אל-היג'א,505
